Row Key	Parent Key	Catalog Key	Item Type	Flow Scope	VGM	Delivery Instruction	Delivery Rule	Fallback Order	Status	Title	Description	Subject	Identifier	Type	Relation
24		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Understanding the Proper Use of a Rubber Doorstop	Instructions for choosing, positioning, testing, removing, and storing a basic rubber doorstop.	Door Hardware; Doorstops	DCSJ-024	Instruction Manual	UberManual.pdf
25		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Advanced Techniques for Storing Reusable Shopping Bags	Methods for folding, nesting, grouping, containing, and retrieving reusable shopping bags without creating a secondary bag problem.	Storage; Shopping Bags	DCSJ-025	Instruction Manual	UberManual.pdf
26		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Coffee Mug Placement: A Practical Office Guide	Practical guidance for choosing a stable, reachable, low-risk location for an office coffee mug.	Office; Mugs	DCSJ-026	Instruction Manual	UberManual.pdf
27		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Emergency Procedures for a Jammed Zipper	A short response procedure for reducing tension, backing out fabric, inspecting teeth, and restoring a jammed zipper.	Clothing; Zippers	DCSJ-027	Instruction Manual	UberManual.pdf
28		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	How to Keep a Bathroom Mirror Remarkably Clean	Routine methods for removing spots, haze, water marks, and edge residue from a bathroom mirror.	Bathroom; Mirrors	DCSJ-028	Instruction Manual	UberManual.pdf
29		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Essential Tips for Storing Long Extension Cords	Storage methods for coiling, securing, labeling, hanging, and retrieving long household extension cords.	Electrical; Extension Cords	DCSJ-029	Instruction Manual	UberManual.pdf
30		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	The Quiet Art of Folding a Bath Towel	A calm, repeatable method for aligning, folding, stacking, and storing bath towels.	Laundry; Towels	DCSJ-030	Instruction Manual	UberManual.pdf
31		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Beginner's Guide to Selecting the Right Shirt to Wear	Everyday considerations for selecting a shirt based on fit, condition, weather, activity, and basic social context.	Clothing; Shirts	DCSJ-031	Instruction Manual	UberManual.pdf
32		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Advanced Techniques for Untangling Rubber Band Knots	Methods for loosening, separating, and preserving rubber bands that have become inconveniently intertwined.	Office Supplies; Rubber Bands	DCSJ-032	Instruction Manual	UberManual.pdf
33		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Common Kitchen Drawer Problems and Their Solutions	Common drawer issues involving sticking, overfilling, poor organization, misalignment, and items migrating behind the drawer.	Kitchen; Drawers	DCSJ-033	Instruction Manual	UberManual.pdf
34		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	How to Fold a Cardboard Box for Temporary Storage	Instructions for flattening, folding, securing, labeling, and temporarily storing an ordinary cardboard box.	Storage; Cardboard Boxes	DCSJ-034	Instruction Manual	UberManual.pdf
35		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Visitor Guest Member	match by title, subject, description, or user intent	preference	text	active	Effective Wobbly Table De-Wobbling Techniques	Methods for identifying the unstable leg, checking floor contact, applying temporary correction, and confirming table stability.	Furniture; Tables	DCSJ-035	Instruction Manual	UberManual.pdf
36		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Guest Member	match by title, subject, description, or user intent	preference	text	active	The Complete Guide to Replacing a Light Switch Cover	A basic replacement procedure covering plate removal, inspection, alignment, fastening, and final visual check.	Electrical; Switch Covers	DCSJ-036	Instruction Manual	UberManual.pdf
37		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Safe and Efficient Use of a Household Mop	Guidance for preparing, wetting, wringing, moving, rinsing, drying, and storing a household mop.	Cleaning; Mops	DCSJ-037	Instruction Manual	UberManual.pdf
38		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Five Ways to Improve Your Document Organization	Five ordinary approaches to naming, grouping, filing, locating, and periodically reviewing household or office documents.	Office; Documents	DCSJ-038	Instruction Manual	UberManual.pdf
39		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Troubleshooting Tight Jar Lids of All Shapes and Sizes	Techniques for improving grip, reducing seal resistance, using warm water, and opening stubborn jar lids safely.	Kitchen; Jar Lids	DCSJ-039	Instruction Manual	UberManual.pdf
40		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Best Practices for Storing Spare Buttons	Recommendations for sorting, labeling, containing, and storing spare buttons so they can later be found.	Sewing; Buttons	DCSJ-040	Instruction Manual	UberManual.pdf
41		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	A Beginner's Guide to Choosing the Right Pizza	A beginner-oriented framework for choosing pizza by size, crust, toppings, dietary needs, sharing requirements, and appetite.	Food; Pizza	DCSJ-041	Instruction Manual	UberManual.pdf
42		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Advanced Techniques for Opening Plastic Packaging	Methods for identifying seams, selecting an opening point, using appropriate tools, and reducing unnecessary packaging damage.	Packaging; Plastic Packaging	DCSJ-042	Instruction Manual	UberManual.pdf
43		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Practical Sock Pairing for Everyday Use	A practical method for matching socks by size, color, pattern, material, wear level, and plausible ownership.	Clothing; Socks	DCSJ-043	Instruction Manual	UberManual.pdf
44		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	How to Carry Multiple Grocery Bags More Efficiently	Carrying strategies involving weight distribution, handle grouping, trip planning, and avoiding bag-to-leg collisions.	Shopping; Grocery Bags	DCSJ-044	Instruction Manual	UberManual.pdf
45		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Emergency Procedures for a Missing Remote Control	A structured search procedure for cushions, tables, adjacent rooms, unusual surfaces, and other common remote-control locations.	Electronics; Remote Controls	DCSJ-045	Instruction Manual	UberManual.pdf
46		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Effective Strategies for Straightening a Crooked Picture Frame	Simple alignment techniques for checking level, adjusting hanging points, and confirming that a picture frame appears straight.	Home Decor; Picture Frames	DCSJ-046	Instruction Manual	UberManual.pdf
47		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Understanding Household Broom Storage Options	Options for hanging, standing, containing, drying, and positioning household brooms between uses.	Cleaning; Brooms	DCSJ-047	Instruction Manual	UberManual.pdf
48		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	Top 10 Mistakes When Using Adhesive Tape	Ten avoidable problems involving tape selection, cutting, overlapping, tension, surface preparation, and finding the tape end.	Office Supplies; Adhesive Tape	DCSJ-048	Instruction Manual	UberManual.pdf
49		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	A Practical Guide to Moving a Small Chair	Guidance for clearing a route, lifting appropriately, moving, positioning, and setting down a small chair.	Furniture; Chairs	DCSJ-049	Instruction Manual	UberManual.pdf
50		dcsj_extremely_ordinary_manuals	Instruction Manual	all	Member	match by title, subject, description, or user intent	preference	text	active	A Practical Guide for Sipping Hot Beverages	A practical reference for temperature checking, cup handling, pacing, small sips, and avoiding preventable beverage-related surprises.	Beverages; Hot Drinks	DCSJ-050	Instruction Manual	UberManual.pdf
