Row Key	Parent Key	Catalog Key	Item Type	Flow Scope	VGM	Delivery Instruction	Delivery Rule	Fallback Order	Status	Title	Description	Difficulty	Duration
26		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Choosing a Queue at the Supermarket	Trolley-volume assessment, cashier-speed heuristics, and the self-checkout gamble.	Intermediate	6 min
27		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting a Cork Back Into a Bottle	Compression, angle, and the acknowledgement that it will never fully return.	Intermediate	5 min
28		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Opening a Child-Proof Cap as an Adult	Alignment, downward force, and troubleshooting when the arrows do not help.	Intermediate	6 min
29		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Finding Your Phone Using Your Phone	The paradox, and four methods that actually work.	Beginner	3 min
30		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Hanging a Picture Level on the First Try	Measurement, marking, and the toothpaste-on-the-nail trick.	Intermediate	10 min
31		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Reading the Instructions Only After It Breaks	A retrospective methodology. Chapter two is titled 'It Was On Page One'.	Beginner	5 min
32		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting All the Ice Out of the Tray	Twist mechanics, temperature timing, and the one-cube-at-a-time failure mode.	Beginner	3 min
33		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Ending a Phone Call Gracefully	Six exit phrases and their success rates. Includes the doorbell fabrication.	Intermediate	7 min
34		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Keeping a Balloon Off the Ceiling	Static discharge, weight attachment, and helium decay timelines.	Beginner	4 min
35		ordinary-manuals	instruction manual	all	Freeline	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Opening a Door While Holding Coffee	Elbow technique, hip method, and the cup-on-the-ledge risk assessment.	Beginner	4 min
36		ordinary-manuals	instruction manual	all	Guest	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Reattaching a Bicycle Chain Without Ruining Your Hands	Glove alternatives, tension release, and post-task degreasing.	Intermediate	12 min
37		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Finding the Beginning of a Roll of Cling Film	Torch angle, fingernail sweep, and the cut-and-restart admission of defeat.	Beginner	4 min
38		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting the Duvet Back Into the Cover Alone	Solo method for the two-person job. Requires a bed and determination.	Advanced	13 min
39		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Removing a Ring That Has Decided to Stay	Soap, cold water, elevation, and the dental-floss wrap.	Intermediate	9 min
40		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Sitting Down With a Full Cup of Tea	Approach speed, surface tension management, and the final descent.	Beginner	3 min
41		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting a Duvet, a Cat, and Yourself Into Bed	Sequencing problem. The cat is a fixed variable.	Advanced	11 min
42		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Deciding Whether the Milk Is Still Fine	Sensory protocol in order of reliability. Date labels rank fourth.	Beginner	4 min
43		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting Out of a Beanbag With Dignity	Roll-and-rise method. Dignity is defined loosely.	Intermediate	6 min
44		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Working Out Which Light Switch Does What	Systematic mapping with one person. Includes the labelling schema.	Intermediate	8 min
45		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Peeling a Boiled Egg in Fewer Than Forty Pieces	Cold shock, the spoon method, and shell-membrane separation.	Intermediate	7 min
46		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Opening a Tin Without a Tin Opener	Three methods, in ascending order of alarm.	Advanced	15 min
47		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Remembering Why You Came Into This Room	Retracing protocol and the doorway-effect literature, summarised kindly.	Beginner	4 min
48		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Getting a Spider Out Without Harming Anyone	Glass-and-card method, with distance guidance for both parties.	Intermediate	6 min
49		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Carrying a Mattress Up a Staircase Alone	Angles, landings, and the honest recommendation to ask a friend.	Advanced	18 min
50		ordinary-manuals	instruction manual	all	Member	Summarise the manual in two sentences, then offer the full text.	one at a time	text	active	Finishing a Manual You Started Reading	Bookmark discipline and the final-chapter push. You are doing it now.	Beginner	2 min
